55,68,122,46,128,65,61,87
238,201,270,199,271,214,240,216
217,206,242,203,244,217,219,221
184,212,219,205,222,220,187,227
238,216,270,212,271,226,240,230
160,214,190,214,190,236,160,236
123,220,162,216,164,235,125,239
204,220,241,216,242,230,205,234
81,227,126,220,129,238,84,244
188,222,208,222,208,236,188,236
245,227,271,225,272,239,246,241
46,232,85,228,86,244,48,248
226,229,249,229,249,244,226,244
157,233,187,231,189,251,158,253
185,234,228,230,230,244,186,249
122,237,162,233,164,254,124,258
65,253,90,251,91,260,66,263
