459,50,583,9,599,56,475,98
508,80,604,51,615,87,520,117
422,58,470,58,470,108,422,108
315,106,414,74,427,114,329,147
396,121,519,81,530,114,406,154
232,140,319,111,332,150,245,179
322,148,406,120,416,150,332,178
322,179,453,135,460,156,329,200
267,168,331,147,341,176,277,197
219,184,277,167,286,196,228,213
472,206,534,189,543,220,480,237
407,225,479,205,487,236,415,256
341,245,413,224,422,255,349,276
467,286,532,275,537,304,473,316
444,290,474,290,474,320,444,320
387,304,446,293,452,322,393,334
645,283,720,321,705,351,630,314
0,306,82,306,82,382,0,382
338,316,395,307,399,335,343,344
242,342,279,338,281,361,244,365
144,362,207,351,211,379,148,390
