579,0,603,0,603,15,579,15
601,0,646,0,646,48,601,48
851,-8,955,6,950,40,846,25
816,26,863,35,861,47,814,38
984,104,1029,104,1029,140,984,140
156,177,317,215,307,258,146,221
213,288,236,288,236,304,213,304
137,309,233,315,232,334,136,328
231,321,282,328,281,341,230,335
859,321,911,321,911,340,859,340
134,328,284,343,282,360,132,345
1090,333,1111,333,1111,354,1090,354
161,349,254,355,253,368,161,362
130,361,269,363,269,379,130,377
127,375,268,378,267,406,126,402
126,391,196,391,196,403,126,403
125,406,161,406,161,419,125,419
119,420,184,420,184,434,119,434
116,436,144,436,144,450,116,450
